,team,period,outcome,x0,y0,x1,y1,possession,id_match
0,Saudi Arabia,1,Complete,61.0,40.0,35.0,39.0,2-Saudi Arabia,1
1,Saudi Arabia,1,Incomplete,36.0,40.0,90.0,16.0,2-Saudi Arabia,1
2,Russia,1,Incomplete,38.0,68.0,45.0,75.0,2-Russia,1
3,Saudi Arabia,1,Complete,76.0,6.0,91.0,6.0,2-Saudi Arabia,1
4,Saudi Arabia,1,Complete,91.0,8.0,104.0,3.0,2-Saudi Arabia,1
5,Saudi Arabia,1,Complete,107.0,20.0,105.0,16.0,2-Saudi Arabia,1
6,Saudi Arabia,1,Complete,106.0,15.0,95.0,10.0,2-Saudi Arabia,1
7,Saudi Arabia,1,Complete,94.0,6.0,88.0,13.0,2-Saudi Arabia,1
8,Saudi Arabia,1,Complete,88.0,16.0,84.0,3.0,2-Saudi Arabia,1
9,Saudi Arabia,1,Complete,74.0,1.0,88.0,3.0,3-Saudi Arabia,1
10,Russia,1,Complete,40.0,78.0,55.0,73.0,4-Russia,1
11,Russia,1,Incomplete,53.0,74.0,63.0,69.0,4-Russia,1
12,Saudi Arabia,1,Incomplete,58.0,12.0,51.0,3.0,4-Saudi Arabia,1
13,Russia,1,Complete,54.0,68.0,52.0,31.0,5-Russia,1
14,Russia,1,Complete,52.0,30.0,49.0,61.0,5-Russia,1
15,Russia,1,Complete,47.0,60.0,84.0,59.0,5-Russia,1
16,Russia,1,Incomplete,97.0,62.0,109.0,65.0,5-Russia,1
17,Saudi Arabia,1,Out,5.0,3.0,37.0,1.0,5-Saudi Arabia,1
18,Russia,1,Complete,105.0,80.0,113.0,69.0,6-Russia,1
19,Russia,1,Complete,112.0,69.0,105.0,70.0,6-Russia,1
20,Russia,1,Complete,106.0,70.0,110.0,58.0,6-Russia,1
21,Saudi Arabia,1,Incomplete,8.0,22.0,29.0,20.0,7-Saudi Arabia,1
22,Russia,1,Incomplete,92.0,61.0,101.0,62.0,7-Russia,1
23,Saudi Arabia,1,Complete,26.0,21.0,26.0,15.0,7-Saudi Arabia,1
24,Saudi Arabia,1,Out,27.0,13.0,42.0,1.0,7-Saudi Arabia,1
25,Russia,1,Complete,55.0,76.0,45.0,44.0,8-Russia,1
26,Russia,1,Complete,45.0,39.0,54.0,5.0,8-Russia,1
27,Russia,1,Complete,57.0,5.0,117.0,13.0,8-Russia,1
28,Russia,1,Incomplete,120.0,1.0,117.0,33.0,9-Russia,1
29,Russia,1,Complete,95.0,14.0,71.0,27.0,9-Russia,1
30,Russia,1,Complete,71.0,25.0,30.0,57.0,9-Russia,1
31,Russia,1,Unknown,29.0,58.0,97.0,15.0,9-Russia,1
32,Saudi Arabia,1,Incomplete,23.0,57.0,76.0,4.0,10-Saudi Arabia,1
33,Russia,1,Incomplete,45.0,77.0,87.0,58.0,10-Russia,1
34,Saudi Arabia,1,Complete,34.0,23.0,12.0,36.0,10-Saudi Arabia,1
35,Saudi Arabia,1,Incomplete,13.0,37.0,60.0,72.0,10-Saudi Arabia,1
36,Russia,1,Out,62.0,9.0,53.0,1.0,10-Russia,1
37,Saudi Arabia,1,Complete,62.0,80.0,65.0,72.0,11-Saudi Arabia,1
38,Russia,1,Incomplete,45.0,7.0,45.0,7.0,11-Russia,1
39,Saudi Arabia,1,Complete,83.0,80.0,82.0,68.0,12-Saudi Arabia,1
40,Saudi Arabia,1,Complete,82.0,68.0,79.0,79.0,12-Saudi Arabia,1
41,Saudi Arabia,1,Incomplete,71.0,80.0,83.0,65.0,13-Saudi Arabia,1
42,Russia,1,Complete,38.0,16.0,45.0,23.0,13-Russia,1
43,Russia,1,Incomplete,45.0,23.0,55.0,22.0,13-Russia,1
44,Saudi Arabia,1,Complete,66.0,63.0,58.0,69.0,13-Saudi Arabia,1
45,Saudi Arabia,1,Complete,58.0,69.0,41.0,58.0,13-Saudi Arabia,1
46,Saudi Arabia,1,Complete,41.0,58.0,13.0,53.0,13-Saudi Arabia,1
47,Saudi Arabia,1,Incomplete,14.0,58.0,63.0,77.0,13-Saudi Arabia,1
48,Russia,1,Complete,58.0,4.0,81.0,6.0,13-Russia,1
49,Russia,1,Complete,76.0,11.0,73.0,15.0,13-Russia,1
50,Russia,1,Incomplete,71.0,15.0,82.0,14.0,13-Russia,1
51,Saudi Arabia,1,Complete,54.0,62.0,49.0,59.0,13-Saudi Arabia,1
52,Saudi Arabia,1,Complete,48.0,59.0,42.0,64.0,13-Saudi Arabia,1
53,Saudi Arabia,1,Incomplete,42.0,63.0,84.0,68.0,13-Saudi Arabia,1
54,Saudi Arabia,1,Complete,83.0,54.0,83.0,39.0,13-Saudi Arabia,1
55,Saudi Arabia,1,Complete,84.0,46.0,85.0,75.0,13-Saudi Arabia,1
56,Saudi Arabia,1,Complete,88.0,75.0,87.0,61.0,13-Saudi Arabia,1
57,Saudi Arabia,1,Complete,87.0,64.0,84.0,76.0,13-Saudi Arabia,1
58,Saudi Arabia,1,Complete,84.0,76.0,86.0,63.0,13-Saudi Arabia,1
59,Saudi Arabia,1,Complete,82.0,60.0,82.0,63.0,13-Saudi Arabia,1
