,team,period,id_match,possession,xg,outcome,x0,y0,x1,y1
1,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,66.0,63.0,58.0,69.0
2,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,58.0,69.0,41.0,58.0
3,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,41.0,58.0,13.0,53.0
5,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,54.0,62.0,49.0,59.0
6,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,48.0,59.0,42.0,64.0
8,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,83.0,54.0,83.0,39.0
9,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,84.0,46.0,85.0,75.0
10,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,88.0,75.0,87.0,61.0
11,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,87.0,64.0,84.0,76.0
12,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,84.0,76.0,86.0,63.0
13,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,82.0,60.0,82.0,63.0
14,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,84.0,67.0,80.0,77.0
15,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,81.0,77.0,85.0,77.0
16,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,85.0,77.0,83.0,72.0
17,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,84.0,71.0,81.0,77.0
18,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,81.0,77.0,73.0,78.0
19,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,68.0,77.0,35.0,47.0
20,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,35.0,47.0,42.0,12.0
21,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,79.0,6.0,83.0,2.0
22,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,90.0,4.0,97.0,3.0
23,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,100.0,4.0,92.0,14.0
24,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,92.0,14.0,104.0,21.0
25,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,117.0,3.0,110.0,3.0
26,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852,Complete,112.0,2.0,107.0,11.0
28,Russia,1,1,17-Russia,0.050341994,Complete,41.0,27.0,85.0,6.0
29,Russia,1,1,17-Russia,0.050341994,Complete,102.0,15.0,100.0,63.0
30,Russia,1,1,17-Russia,0.050341994,Complete,98.0,61.0,95.0,57.0
31,Russia,1,1,17-Russia,0.050341994,Complete,94.0,58.0,118.0,59.0
32,Russia,1,1,17-Russia,0.050341994,Complete,118.0,60.0,110.0,53.0
33,Russia,1,1,22-Russia,0.035292660000000003,Complete,48.0,70.0,12.0,58.0
34,Russia,1,1,22-Russia,0.035292660000000003,Complete,14.0,58.0,73.0,34.0
35,Russia,1,1,22-Russia,0.035292660000000003,Complete,73.0,35.0,83.0,25.0
37,Russia,1,1,25-Russia,0.07074226,Complete,54.0,1.0,64.0,7.0
38,Russia,1,1,25-Russia,0.07074226,Complete,66.0,9.0,46.0,3.0
39,Russia,1,1,25-Russia,0.07074226,Complete,43.0,3.0,27.0,10.0
40,Russia,1,1,25-Russia,0.07074226,Complete,26.0,11.0,26.0,47.0
41,Russia,1,1,25-Russia,0.07074226,Complete,35.0,59.0,42.0,66.0
42,Russia,1,1,25-Russia,0.07074226,Complete,47.0,73.0,56.0,53.0
44,Russia,1,1,25-Russia,0.07074226,Complete,93.0,58.0,101.0,51.0
46,Russia,1,1,26-Russia,0.09132,Complete,104.0,17.0,106.0,6.0
47,Russia,1,1,26-Russia,0.09132,Complete,104.0,6.0,98.0,12.0
48,Russia,1,1,26-Russia,0.09132,Complete,97.0,14.0,112.0,46.0
50,Saudi Arabia,1,1,42-Saudi Arabia,0.031889375000000005,Complete,91.0,41.0,85.0,47.0
52,Saudi Arabia,1,1,50-Saudi Arabia,0.02893965,Complete,89.0,3.0,76.0,5.0
53,Saudi Arabia,1,1,50-Saudi Arabia,0.02893965,Complete,81.0,5.0,66.0,26.0
54,Saudi Arabia,1,1,50-Saudi Arabia,0.02893965,Complete,67.0,24.0,78.0,10.0
