,team,period,id_match,possession,xg
0,Saudi Arabia,1,1,13-Saudi Arabia,0.018705852000000002
1,Russia,1,1,17-Russia,0.050341994
2,Russia,1,1,22-Russia,0.035292660000000003
3,Russia,1,1,25-Russia,0.07074226
4,Russia,1,1,26-Russia,0.09132000000000001
5,Saudi Arabia,1,1,42-Saudi Arabia,0.031889375000000005
6,Saudi Arabia,1,1,50-Saudi Arabia,0.02893965
7,Saudi Arabia,1,1,56-Saudi Arabia,0.10901712000000001
8,Russia,1,1,86-Russia,0.23187083
9,Russia,2,1,110-Russia,0.040208858
10,Russia,2,1,136-Russia,0.024569511000000002
11,Russia,2,1,138-Russia,0.06089679
12,Russia,2,1,145-Russia,0.02600411
13,Russia,2,1,153-Russia,0.26920947
14,Saudi Arabia,2,1,155-Saudi Arabia,0.01618839
15,Russia,2,1,163-Russia,0.056043763
16,Saudi Arabia,2,1,171-Saudi Arabia,0.025701758
17,Russia,2,1,177-Russia,0.017092118
18,Russia,2,1,188-Russia,0.03330527
19,Russia,2,1,193-Russia,0.037057770000000004
20,Nigeria,1,2,33-Nigeria,0.010660103
21,Croatia,1,2,34-Croatia,0.07181057
22,Croatia,1,2,37-Croatia,0.016783264000000003
23,Nigeria,1,2,46-Nigeria,0.017374998000000003
24,Nigeria,1,2,47-Nigeria,0.020826573
25,Croatia,1,2,65-Croatia,0.032572243
26,Croatia,1,2,66-Croatia,0.30873626
27,Nigeria,1,2,68-Nigeria,0.16443154000000001
28,Croatia,1,2,78-Croatia,0.07256923600000001
29,Croatia,1,2,78-Croatia,0.017190125
30,Nigeria,1,2,83-Nigeria,0.037955903
31,Nigeria,1,2,83-Nigeria,0.015733335
32,Nigeria,2,2,90-Nigeria,0.018591195
33,Croatia,2,2,93-Croatia,0.012014412
34,Nigeria,2,2,95-Nigeria,0.026541801
35,Nigeria,2,2,111-Nigeria,0.05566098
36,Croatia,2,2,117-Croatia,0.050183352
37,Croatia,2,2,131-Croatia,0.76
38,Croatia,2,2,136-Croatia,0.021700997
39,Nigeria,2,2,141-Nigeria,0.042546097000000005
40,Nigeria,2,2,147-Nigeria,0.032777537
41,Nigeria,2,2,158-Nigeria,0.01177382
42,Nigeria,2,2,159-Nigeria,0.11512936
43,Croatia,2,2,172-Croatia,0.17380022
44,France,1,3,3-France,0.033382967
45,France,1,3,6-France,0.056292735
46,France,1,3,11-France,0.041570134
47,France,1,3,16-France,0.023818359
48,Australia,1,3,25-Australia,0.027607637
49,Australia,1,3,32-Australia,0.019019406000000003
50,France,1,3,62-France,0.050378084000000004
51,Australia,1,3,79-Australia,0.02100948
52,France,2,3,102-France,0.76
53,France,2,3,104-France,0.11177876
54,France,2,3,104-France,0.06688225
55,Australia,2,3,108-Australia,0.76
56,France,2,3,121-France,0.009462409
57,France,2,3,125-France,0.021418445
58,France,2,3,148-France,0.06197745700000001
59,France,2,3,157-France,0.042216487000000004
60,Australia,2,3,172-Australia,0.050744686000000004
61,Iceland,1,4,2-Iceland,0.02143235
62,Argentina,1,4,5-Argentina,0.14851512
63,Argentina,1,4,13-Argentina,0.024170863
64,Iceland,1,4,14-Iceland,0.060888756
65,Iceland,1,4,16-Iceland,0.04363545
66,Iceland,1,4,16-Iceland,0.1611868
67,Argentina,1,4,19-Argentina,0.022574734000000003
68,Argentina,1,4,26-Argentina,0.030986823000000004
69,Argentina,1,4,27-Argentina,0.017576769000000003
70,Argentina,1,4,27-Argentina,0.117470056
71,Argentina,1,4,29-Argentina,0.022280727
72,Iceland,1,4,33-Iceland,0.34145403
73,Iceland,1,4,33-Iceland,0.30160245
74,Argentina,1,4,40-Argentina,0.024481881
75,Argentina,1,4,41-Argentina,0.02527951
76,Argentina,1,4,49-Argentina,0.031602383000000005
77,Argentina,1,4,54-Argentina,0.023017397000000002
78,Argentina,1,4,59-Argentina,0.0670455
79,Iceland,1,4,62-Iceland,0.0330386
80,Iceland,1,4,63-Iceland,0.036398467000000004
81,Argentina,2,4,67-Argentina,0.044450566000000004
82,Iceland,2,4,72-Iceland,0.030675782000000002
83,Argentina,2,4,78-Argentina,0.07803119
84,Argentina,2,4,79-Argentina,0.028912688000000002
85,Argentina,2,4,85-Argentina,0.048812483000000004
86,Argentina,2,4,89-Argentina,0.76
87,Argentina,2,4,91-Argentina,0.018791141
88,Argentina,2,4,94-Argentina,0.02798816
89,Argentina,2,4,98-Argentina,0.024525665000000002
90,Argentina,2,4,101-Argentina,0.017025284
91,Argentina,2,4,104-Argentina,0.02377906
92,Argentina,2,4,118-Argentina,0.043929283
93,Argentina,2,4,120-Argentina,0.028638465000000002
94,Argentina,2,4,120-Argentina,0.03489806
95,Argentina,2,4,127-Argentina,0.013733204
96,Argentina,2,4,135-Argentina,0.0340071
97,Argentina,2,4,138-Argentina,0.048553884000000005
98,Peru,1,5,12-Peru,0.010804985000000001
99,Peru,1,5,18-Peru,0.01308281
100,Peru,1,5,26-Peru,0.026492061
101,Peru,1,5,29-Peru,0.021991199000000003
102,Peru,1,5,32-Peru,0.013026215
103,Peru,1,5,33-Peru,0.014624380000000001
104,Denmark,1,5,43-Denmark,0.03143921
105,Denmark,1,5,55-Denmark,0.024740027
106,Peru,1,5,58-Peru,0.12860453
107,Denmark,1,5,73-Denmark,0.07275482
108,Denmark,1,5,73-Denmark,0.023921797
109,Denmark,1,5,76-Denmark,0.030539736
110,Peru,1,5,81-Peru,0.76
111,Denmark,1,5,83-Denmark,0.10667448
112,Peru,2,5,96-Peru,0.015130636000000001
113,Denmark,2,5,97-Denmark,0.011200062
114,Denmark,2,5,100-Denmark,0.016678322000000002
115,Peru,2,5,107-Peru,0.18413545
116,Denmark,2,5,112-Denmark,0.22741668
117,Peru,2,5,113-Peru,0.13210443
118,Peru,2,5,118-Peru,0.17683983
119,Peru,2,5,125-Peru,0.027020594000000002
120,Peru,2,5,131-Peru,0.018496068
121,Peru,2,5,141-Peru,0.0794071
122,Denmark,2,5,143-Denmark,0.10593174
123,Peru,2,5,145-Peru,0.17763694
124,Denmark,2,5,147-Denmark,0.35417953
125,Peru,2,5,167-Peru,0.08892101000000001
126,Switzerland,1,6,7-Switzerland,0.19710079
127,Brazil,1,6,18-Brazil,0.46675408
128,Brazil,1,6,25-Brazil,0.037262335
129,Brazil,1,6,34-Brazil,0.021609597
130,Switzerland,1,6,48-Switzerland,0.009065702
131,Brazil,1,6,54-Brazil,0.19256097
132,Switzerland,1,6,65-Switzerland,0.051013418000000005
133,Brazil,1,6,75-Brazil,0.06039129
134,Switzerland,2,6,78-Switzerland,0.013138825000000002
135,Switzerland,2,6,88-Switzerland,0.18520968000000002
136,Brazil,2,6,102-Brazil,0.050548155000000004
137,Brazil,2,6,102-Brazil,0.040195018000000006
138,Brazil,2,6,102-Brazil,0.059846766
139,Brazil,2,6,104-Brazil,0.058555935
140,Brazil,2,6,105-Brazil,0.015688239
141,Brazil,2,6,122-Brazil,0.01954643
142,Brazil,2,6,123-Brazil,0.035224535
143,Brazil,2,6,123-Brazil,0.025777671000000002
144,Brazil,2,6,126-Brazil,0.078255266
145,Switzerland,2,6,129-Switzerland,0.056811962
146,Brazil,2,6,140-Brazil,0.0153418975
147,Brazil,2,6,142-Brazil,0.017624110000000002
148,Brazil,2,6,152-Brazil,0.03511674
149,Brazil,2,6,164-Brazil,0.041703403
150,Switzerland,2,6,166-Switzerland,0.033755716000000005
151,Brazil,2,6,168-Brazil,0.15430354000000002
152,Brazil,2,6,171-Brazil,0.04976047
153,Brazil,2,6,181-Brazil,0.13879864
154,Mexico,1,7,4-Mexico,0.11954614000000001
155,Germany,1,7,7-Germany,0.05406139
156,Germany,1,7,12-Germany,0.07986238
157,Mexico,1,7,17-Mexico,0.07760888
158,Mexico,1,7,20-Mexico,0.022707480000000002
159,Mexico,1,7,29-Mexico,0.06243751
160,Germany,1,7,32-Germany,0.020580625
161,Germany,1,7,34-Germany,0.012994583
162,Germany,1,7,43-Germany,0.11295722
163,Germany,1,7,48-Germany,0.032710213
164,Mexico,1,7,50-Mexico,0.040863596
165,Mexico,1,7,57-Mexico,0.032820657
166,Mexico,1,7,63-Mexico,0.038912017
167,Mexico,1,7,75-Mexico,0.12458481
168,Germany,1,7,77-Germany,0.03675585
169,Germany,1,7,78-Germany,0.06536453
170,Mexico,1,7,92-Mexico,0.068931244
171,Germany,2,7,99-Germany,0.02720282
172,Germany,2,7,110-Germany,0.01670392
173,Germany,2,7,117-Germany,0.033600736
174,Germany,2,7,118-Germany,0.0381895
175,Mexico,2,7,122-Mexico,0.07200163600000001
176,Germany,2,7,129-Germany,0.047657218
177,Germany,2,7,132-Germany,0.07850256600000001
178,Germany,2,7,137-Germany,0.026346067
179,Germany,2,7,138-Germany,0.18988016
180,Germany,2,7,142-Germany,0.017691562
181,Germany,2,7,144-Germany,0.046757434
182,Germany,2,7,146-Germany,0.13658778
183,Mexico,2,7,149-Mexico,0.043884493000000004
184,Germany,2,7,152-Germany,0.027038997000000002
185,Mexico,2,7,158-Mexico,0.044509128
186,Germany,2,7,163-Germany,0.039553158000000005
187,Germany,2,7,168-Germany,0.045086257000000005
188,Germany,2,7,171-Germany,0.10165854
189,Germany,2,7,174-Germany,0.46645513
190,Germany,2,7,174-Germany,0.038186207
191,Germany,2,7,176-Germany,0.017043432
192,Serbia,1,8,3-Serbia,0.05058246
